Time,Time Code,Country Name,Country Code,Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],"School enrollment, primary (% gross) [SE.PRM.ENRR]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Maternal mortality ratio (national estimate, per 100,000 live births) [SH.STA.MMRT.NE]","Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]","Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]","Population, total [SP.POP.TOTL]","Mortality rate, neonatal (per 1,000 live births) [SH.DYN.NMRT]",GDP per capita (current US$) [NY.GDP.PCAP.CD]
2016,YR2016,Albania,ALB,202.01332092,105.553863525391,1.659,..,8.4,15.4175996780396,2876101,6.3,4124.05572595352
2016,YR2016,Andorra,AND,2361.2175293,..,..,..,3.2,..,77297,1.6,37474.6654057245
2016,YR2016,Armenia,ARM,357.45776367,94.5178985595703,1.744,28,12.2,17.6172008514404,2936146,7.4,3591.82927553023
2016,YR2016,Austria,AUT,4709.87597656,102.264358520508,1.53,6,3,6.01380014419556,8736668,2.2,45276.8314351693
2016,YR2016,Azerbaijan,AZE,156.99572754,106.431739807129,1.9,13,21.8,5,9757812,13.2,3880.73873089556
2016,YR2016,Belarus,BLR,298.62658691,101.077041625977,1.733,..,2.9,5.84000015258789,9501534,1.5,5022.62664330491
2016,YR2016,Belgium,BEL,4328.84619141,103.317771911621,1.68,..,3.1,7.82969999313354,11331422,2.2,41984.1030335609
2016,YR2016,Bosnia and Herzegovina,BIH,460.88534546,..,1.286,..,5.3,25.4081001281738,3386267,4.5,4994.68314045091
2016,YR2016,Bulgaria,BGR,562.34082031,91.0832214355469,1.54,..,6.5,7.57460021972656,7127822,3.8,7548.85500737534
2016,YR2016,Channel Islands,CHI,..,..,1.527,..,..,..,166923,..,..
2016,YR2016,Croatia,HRV,840.9050293,98.200569152832,1.42,3,4.2,13.1034002304077,4174349,3,12361.4838303671
2016,YR2016,Cyprus,CYP,1681.90368652,98.5455093383789,1.345,0,2.1,12.9497995376587,1170187,1.5,24532.5190588269
2016,YR2016,Czech Republic,CZE,1321.62023926,100.208877563477,1.63,1,2.5,3.9514000415802,10566332,1.6,18575.2320271915
2016,YR2016,Denmark,DNK,5565.59326172,101.804832458496,1.79,..,3.5,5.98859977722168,5728010,3.2,54663.9983719195
2016,YR2016,Estonia,EST,1186.1027832,97.1177978515625,1.6,14,2.3,6.76170015335083,1315790,1.3,18437.2528207173
2016,YR2016,Faroe Islands,FRO,..,..,2.6,..,..,..,48173,..,56854.102653706
2016,YR2016,Finland,FIN,4107.06298828,100.418838500977,1.57,6,2,8.81840038299561,5495303,1.4,43784.2839622098
2016,YR2016,France,FRA,4268.17431641,102.260429382324,1.92,..,3.5,10.038800239563,66724104,2.4,37037.3741861219
2016,YR2016,Georgia,GEO,301.54577637,100.343948364258,2.059,36,9.1,16.6039009094238,3727505,6.1,4062.16988757379
2016,YR2016,Germany,DEU,4742.03417969,102.677558898926,1.6,..,3.3,4.1217999458313,82348669,2.3,42107.5172703074
2016,YR2016,Gibraltar,GIB,..,101.121162414551,..,..,..,..,33737,..,..
2016,YR2016,Greece,GRC,1488.1986084,99.2777328491211,1.38,..,3.9,23.5391006469727,10775971,2.6,18116.4596531285
2016,YR2016,Greenland,GRL,..,..,2,..,..,..,56186,..,48181.874188064
2016,YR2016,Hungary,HUN,914.19354248,101.878807067871,1.53,12,4,5.1149001121521,9814023,2.5,13090.5067287853
2016,YR2016,Iceland,ISL,5067.69091797,99.5341415405273,1.74,0,1.7,2.97790002822876,335439,1.1,61466.8039542895
2016,YR2016,Ireland,IRL,4717.56835938,101.341491699219,1.81,..,3.1,8.37390041351318,4755335,2.3,63197.0823976808
2016,YR2016,Isle of Man,IMN,..,..,..,..,..,2.66732120513916,83287,..,82206.0089984701
2016,YR2016,Italy,ITA,2699.73291016,99.4254608154297,1.34,..,2.9,11.6881999969482,60627498,2.1,30939.7142462298
2016,YR2016,Kazakhstan,KAZ,263.48373413,109.885208129883,2.73,..,9.8,4.96000003814697,17794055,5.1,7714.84184376024
2016,YR2016,Kosovo,XKX,..,..,2.06,..,..,27.4699993133545,1777557,..,3780.00368867233
2016,YR2016,Kyrgyz Republic,KGZ,71.92367554,104.601470947266,3.1,30,18.9,7.21000003814697,6079500,14.1,1120.66651300848
2016,YR2016,Latvia,LVA,874.79772949,99.1985473632813,1.74,..,3.9,9.64290046691895,1959537,2.4,14315.7928949778
2016,YR2016,Liechtenstein,LIE,..,105.491020202637,1.61,..,..,..,37658,..,165629.190482925
2016,YR2016,Lithuania,LTU,988.5279541,102.891799926758,1.69,7,3.9,7.86210012435913,2868231,2.3,14998.1250595137
2016,YR2016,Luxembourg,LUX,5475.13964844,100.78978729248,1.41,..,2.4,6.29069995880127,582014,1.5,104278.390971905
2016,YR2016,Moldova,MDA,171.18476868,91.7529220581055,1.259,17,13.1,4.18499994277954,2802170,11.4,2880.43928129296
2016,YR2016,Monaco,MCO,2765.08447266,..,..,..,2.8,6.32999992370605,38070,1.9,170028.655717864
2016,YR2016,Montenegro,MNE,..,95.9437484741211,1.73,..,2.8,17.7233009338379,622303,1.8,7028.66345418521
2016,YR2016,Netherlands,NLD,4734.83349609,103.286758422852,1.66,3,3.4,6.00629997253418,17030314,2.6,46007.8529206547
2016,YR2016,North Macedonia,MKD,327.49136353,..,1.506,..,10.5,23.7243995666504,2080745,8.8,5129.15896023703
2016,YR2016,Norway,NOR,7496.76855469,100.225883483887,1.71,0,2.1,4.67889976501465,5234519,1.5,70459.1825041029
2016,YR2016,Poland,POL,813.47277832,..,1.39,2,4,6.16079998016357,37970087,2.8,12447.4395912808
2016,YR2016,Portugal,PRT,1880.15686035,105.737518310547,1.36,7,3,11.0662002563477,10325452,2.1,19978.401214968
2016,YR2016,Romania,ROU,476.24505615,86.9076766967773,1.69,9,7.1,5.90140008926392,19702267,4,9548.58740298268
2016,YR2016,Russian Federation,RUS,464.89776611,99.8143920898438,1.762,..,6.5,5.5588002204895,144342396,3.5,8704.89841329594
2016,YR2016,San Marino,SMR,2958.55493164,..,..,..,1.7,6.44999980926514,33504,0.9,43826.9243116818
2016,YR2016,Serbia,SRB,486.42944336,100.571273803711,1.46,8,5.2,15.257399559021,7058322,3.7,5765.20076202711
2016,YR2016,Slovak Republic,SVK,1175.5970459,97.8521728515625,1.48,7,5,9.67020034790039,5430798,3,16508.6703604932
2016,YR2016,Slovenia,SVN,1835.40734863,99.8380126953125,1.58,5,1.9,8.00010013580322,2065042,1.3,21663.643413767
2016,YR2016,Spain,ESP,2376.72119141,104.214172363281,1.34,4,2.7,19.6347007751465,46484062,1.9,26505.3432155204
2016,YR2016,Sweden,SWE,5674.47753906,124.851051330566,1.85,3,2.3,6.98999977111816,9923085,1.6,51965.1571531985
2016,YR2016,Switzerland,CHE,9439.42480469,104.629112243652,1.54,..,3.7,4.91790008544922,8373338,2.9,80172.2320869148
2016,YR2016,Tajikistan,TJK,56.20223236,97.9857330322266,3.618,7,32.1,6.90000009536743,8663579,15.8,802.518004052824
2016,YR2016,Turkey,TUR,466.7947998,100.947647094727,2.092,16,10.5,10.8386001586914,79821724,6,10895.3186924719
2016,YR2016,Turkmenistan,TKM,423.05987549,..,2.887,..,36.4,..,5662372,23.4,6389.54840833488
2016,YR2016,Ukraine,UKR,157.53770447,..,1.466,..,7.9,9.35000038146973,45004674,5.5,2187.73050991433
2016,YR2016,United Kingdom,GBR,4066.09350586,101.33521270752,1.79,8,3.8,4.80970001220703,65611593,2.7,41064.1334316223
2016,YR2016,Uzbekistan,UZB,129.17277527,101.572486877441,2.455,18,18.8,5.19999980926514,31847900,12,2567.79920656883
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,
Last Updated: 12/16/2020,,,,,,,,,,,,
